site_id,"(0,5]","(5,10]","(10,15]","(15,20]","(20,25]","(25,30]","(30,35]","(35,40]",cluster,cluster_label
ATG001,0.780223445,0.215774554,0.003835251,0.00016675,0.0,0.0,0.0,0.0,3,0–5m dominant
ATH005,0.443661972,0.352112676,0.161971831,0.014084507,0.028169014,0.0,0.0,0.0,0,5–10m dominant
ATH006,0.227180527,0.764705882,0.00811359,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ATI001,0.981751825,0.018248175,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATI010,0.582623509,0.379045997,0.030664395,0.007666099,0.0,0.0,0.0,0.0,0,5–10m dominant
ATI015,0.691588785,0.23364486,0.074766355,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATJ00301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATJ007,0.476265823,0.493670886,0.026898734,0.001582278,0.001582278,0.0,0.0,0.0,0,5–10m dominant
ATM001,0.981634183,0.009370315,0.005622189,0.001874063,0.00149925,0.0,0.0,0.0,3,0–5m dominant
ATM011,0.450946644,0.469018933,0.073149742,0.006884682,0.0,0.0,0.0,0.0,0,5–10m dominant
ATM019,0.226334242,0.639267628,0.127386054,0.004285158,0.002337359,0.0,0.00038956,0.0,0,5–10m dominant
ATM027,0.708955224,0.28358209,0.007462687,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATP001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATQ017,0.747641509,0.224056604,0.028301887,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATU002,0.374009509,0.55493925,0.069202324,0.001848917,0.0,0.0,0.0,0.0,0,5–10m dominant
ATW004,0.161490683,0.523291925,0.26242236,0.017080745,0.027950311,0.007763975,0.0,0.0,0,5–10m dominant
ATW009,0.075961538,0.111298077,0.727163462,0.079086538,0.004807692,0.000961538,0.000721154,0.0,1,10–15m dominant
ATW010,0.378348214,0.131696429,0.127232143,0.065848214,0.066964286,0.055803571,0.084821429,0.064732143,2,0–40m mixed structure
ATX006,0.357664234,0.441605839,0.051094891,0.111313869,0.038321168,0.0,0.0,0.0,0,5–10m dominant
ATY002,0.934210526,0.052631579,0.013157895,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATY005,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATY006,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ATY007,0.397959184,0.346938776,0.214285714,0.040816327,0.0,0.0,0.0,0.0,0,5–10m dominant
ATY008,0.846153846,0.065934066,0.043956044,0.032967033,0.010989011,0.0,0.0,0.0,3,0–5m dominant
ATY013,0.446345257,0.34836703,0.174183515,0.031104199,0.0,0.0,0.0,0.0,0,5–10m dominant
ATY015,0.879262868,0.104215209,0.016098284,0.000423639,0.0,0.0,0.0,0.0,3,0–5m dominant
ATZ002,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
AUB056,0.191473988,0.624277457,0.180635838,0.00216763,0.001445087,0.0,0.0,0.0,0,5–10m dominant
AUB057,0.263401109,0.609981516,0.126617375,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
AUB251,0.134453782,0.862184874,0.003361345,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
AUC001,0.246636771,0.717488789,0.035874439,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
AUC003,0.52173913,0.275362319,0.173913043,0.028985507,0.0,0.0,0.0,0.0,0,5–10m dominant
AUC008,0.101838755,0.387553041,0.475247525,0.035360679,0.0,0.0,0.0,0.0,1,10–15m dominant
AUC011,0.831877729,0.168122271,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
AUC016,0.053272451,0.494672755,0.400304414,0.050228311,0.00152207,0.0,0.0,0.0,1,10–15m dominant
AUC026,0.584070796,0.380530973,0.03539823,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
AUC039,0.433333333,0.3,0.166666667,0.1,0.0,0.0,0.0,0.0,0,5–10m dominant
AUC040,0.957446809,0.035460993,0.007092199,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
AUC041,0.319526627,0.550295858,0.127218935,0.00295858,0.0,0.0,0.0,0.0,0,5–10m dominant
AUC044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
AUD028,0.337254902,0.641176471,0.021568627,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
AUD029,0.068071313,0.264181524,0.539708266,0.128038898,0.0,0.0,0.0,0.0,1,10–15m dominant
AUE006,0.213736545,0.407654194,0.349735179,0.028874082,0.0,0.0,0.0,0.0,1,10–15m dominant
AUE012,0.145855759,0.411733046,0.440258342,0.002152853,0.0,0.0,0.0,0.0,1,10–15m dominant
AUE020,0.074520937,0.43364088,0.448545067,0.042938254,0.000354862,0.0,0.0,0.0,1,10–15m dominant
